filename,filepath,condition,voltage,noise,run,true_label,mse
blocked_4V_quiet_run07.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run07.wav,blocked,4V,quiet,7,1,43.8145866394043
blocked_4V_quiet_run08.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run08.wav,blocked,4V,quiet,8,1,42.04136657714844
blocked_4V_quiet_run09.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run09.wav,blocked,4V,quiet,9,1,42.96412658691406
blocked_4V_quiet_run10.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\4V\quiet\blocked_4V_quiet_run10.wav,blocked,4V,quiet,10,1,42.149864196777344
blocked_8V_noise_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run01.wav,blocked,8V,noise,1,1,44.202213287353516
blocked_8V_noise_run02.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run02.wav,blocked,8V,noise,2,1,44.00625991821289
blocked_8V_noise_run03.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run03.wav,blocked,8V,noise,3,1,43.8099250793457
blocked_8V_noise_run04.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run04.wav,blocked,8V,noise,4,1,45.05348205566406
blocked_8V_noise_run05.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run05.wav,blocked,8V,noise,5,1,43.34303665161133
blocked_8V_noise_run06.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run06.wav,blocked,8V,noise,6,1,43.432334899902344
blocked_8V_noise_run07.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run07.wav,blocked,8V,noise,7,1,44.41860580444336
blocked_8V_noise_run08.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run08.wav,blocked,8V,noise,8,1,43.36521530151367
blocked_8V_noise_run09.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run09.wav,blocked,8V,noise,9,1,43.33428192138672
blocked_8V_noise_run10.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\noise\blocked_8V_noise_run10.wav,blocked,8V,noise,10,1,43.71905517578125
blocked_8V_quiet_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\quiet\blocked_8V_quiet_run01.wav,blocked,8V,quiet,1,1,51.16752624511719
blocked_8V_quiet_run02.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\quiet\blocked_8V_quiet_run02.wav,blocked,8V,quiet,2,1,52.157806396484375
blocked_8V_quiet_run03.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\quiet\blocked_8V_quiet_run03.wav,blocked,8V,quiet,3,1,53.0111198425293
blocked_8V_quiet_run04.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\quiet\blocked_8V_quiet_run04.wav,blocked,8V,quiet,4,1,53.48084259033203
blocked_8V_quiet_run05.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\quiet\blocked_8V_quiet_run05.wav,blocked,8V,quiet,5,1,53.213035583496094
blocked_8V_quiet_run06.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\quiet\blocked_8V_quiet_run06.wav,blocked,8V,quiet,6,1,53.661598205566406
blocked_8V_quiet_run07.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\quiet\blocked_8V_quiet_run07.wav,blocked,8V,quiet,7,1,54.7144775390625
blocked_8V_quiet_run08.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\quiet\blocked_8V_quiet_run08.wav,blocked,8V,quiet,8,1,54.64584732055664
blocked_8V_quiet_run09.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\quiet\blocked_8V_quiet_run09.wav,blocked,8V,quiet,9,1,54.7912483215332
blocked_8V_quiet_run10.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\blocked\8V\quiet\blocked_8V_quiet_run10.wav,blocked,8V,quiet,10,1,53.647117614746094
imbalance_12V_noise_run01.wav,C:\Users\14259\Desktop\hvac_fan_dataset\raw_audio\imbalance\12V\noise\imbalance_12V_noise_run01.wav,imbalance,12V,noise,1,1,73.51657104492188
